Binomial,mass,habitatex,diet,reprod,foraging,activity,Family,IUCN redlist assessment,IUCN population trend,Rep Type,Maximum TL or CL,,maximum SVL
Amphisbaena bakeri,10.7102154,Fossorial&Terrestrial,NA,Oviparous,NA,NA,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,260
Amphisbaena barbouri,2.294187337,Fossorial&Terrestrial,NA,Oviparous,NA,NA,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,177
Amphisbaena caeca,16.81973724,Fossorial&Terrestrial,Insectivorous,Oviparous,NA,NA,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,291
Amphisbaena carlgansi,1.861291062,Saxicolous&Terrestrial,NA,Oviparous,NA,NA,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,168
Amphisbaena caudalis,8.720405732,Saxicolous&Terrestrial,NA,Oviparous,NA,NA,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,247
Amphisbaena cubana,4.213722702,Saxicolous&Terrestrial,NA,Oviparous,NA,NA,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,206
Amphisbaena hyporissor,21.67136702,Saxicolous&Terrestrial,Insectivorous,Oviparous,NA,Nocturnal,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,310
Amphisbaena innocens,11.04417487,Saxicolous&Terrestrial,NA,Oviparous,NA,NA,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,262
Amphisbaena leali,9.753684478,Saxicolous&Terrestrial,NA,Oviparous,NA,NA,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,254
Amphisbaena manni,4.727459258,Saxicolous&Terrestrial,NA,Oviparous,NA,Nocturnal,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,212
Amphisbaena schmidti,7.771528527,Saxicolous&Terrestrial,NA,Oviparous,NA,NA,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,240
Amphisbaena xera,8.440895041,Saxicolous&Terrestrial,NA,Oviparous,NA,NA,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,245
Cadea blanoides,17.34868506,Saxicolous&Terrestrial,Insectivorous,Oviparous,NA,NA,Amphisbaenidae,,,Amphisabaena,,Feldman et al 2015,260
Anolis agueroi,78.57014621,Arboreal,Omnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,158.1
Anolis ahli,4.931953265,Trunk-Ground,NA,Oviparous,NA,Diurnal,Dactyloidae,EN,unknown,Lizard,,Feldman et al 2015,61.7
Anolis alayoni,2.187073104,Twig,NA,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,46.8
Anolis alfaroi,1.010745828,Grass-Bush,NA,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,36
Anolis allisoni,4.5,Trunk-Crown,Carnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Amniote DB,100
Anolis allogus,5.195140195,Trunk-Ground,Carnivorous,Oviparous,Mixed,Diurnal,Dactyloidae,LC,unknown,Lizard,,Feldman et al 2015,62.8
Anolis altitudinalis,2.98182284,Trunk-Crown,NA,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,52
Anolis alutaceus,2.35619766,Grass-Bush,Carnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,48
Anolis anfiloquioi,1.429330557,Grass-Bush,NA,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,40.5
Anolis angusticeps,2.6,Twig,Carnivorous,Oviparous,Active,Diurnal,Dactyloidae,NE,NE,Lizard,,Amniote DB,53
Anolis argenteolus,2.19,Arboreal,Carnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Amniote DB,65
Anolis argillaceus,2.35619766,Arboreal,NA,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,48
Anolis baracoae,56,Crown-Giant,Carnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Amniote DB,172
Anolis barbatus,97.27040557,Arboreal,Herbivorous,Oviparous,Sit-and-Wait,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,170
Anolis bartschi,10.58987275,Saxicolous,Omnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,80
Anolis birama,5.748983938,Trunk-Ground,NA,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,65
Anolis bremeri,7.767338007,Trunk-Ground,Carnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,72
Anolis carolinensis,2.455,Trunk-Crown,Carnivorous,Oviparous,Sit-and-Wait,Diurnal,Dactyloidae,LC,stable,Lizard,,Amniote DB,75
Anolis centralis,2.370668421,Arboreal,Carnivorous,Oviparous,NA,Diurnal,Dactyloidae,LC,unknown,Lizard,,Feldman et al 2015,48.1
Anolis chamaeleonides,109.5310749,Arboreal,Carnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,177
Anolis clivicola,2.564157418,Grass-Bush,NA,Oviparous,NA,Diurnal,Dactyloidae,LC,unknown,Lizard,,Feldman et al 2015,49.4
Anolis confusus,3.15369441,Trunk-Ground,NA,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,53
Anolis cooki,6.95,Trunk-Ground,Carnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Amniote DB,70
Anolis cristatellus,8.4,Trunk-Ground,Omnivorous,Oviparous,Sit-and-Wait,Diurnal,Dactyloidae,NE,NE,Lizard,,Amniote DB,78
Anolis cupeyalensis,0.817865375,Grass-Bush,Carnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,33.5
Anolis cuvieri,46.6,Crown-Giant,Omnivorous,Oviparous,Sit-and-Wait,Diurnal,Dactyloidae,NE,NE,Lizard,,Amniote DB,180
Anolis cyanopleurus,1.704763728,Grass-Bush,NA,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,43
Anolis delafuentei,4.769143328,Trunk-Ground,NA,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,61
Anolis desiradei,10.58987275,Arboreal&Saxicolous,NA,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,80
Anolis distichus,3.1,Trunk,Carnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Amniote DB,53
Anolis equestris,56,Crown-Giant,Omnivorous,Oviparous,Mixed,Diurnal,Dactyloidae,NE,NE,Lizard,,Amniote DB,190
Anolis evermanni,5.4,Trunk-Crown,Carnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Amniote DB,78
Anolis ferreus,58.47882289,Arboreal,Carnivorous,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,143
Anolis fugitivus,1.027355179,Arboreal,NA,Oviparous,NA,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,36.2
Anolis garmani,33.8,Crown-Giant,Omnivorous,Oviparous,Sit-and-Wait,Diurnal,Dactyloidae,NE,NE,Lizard,,Amniote DB,138
Anolis garridoi,1.568558141,Twig,Carnivorous,Oviparous,Sit-and-Wait,Diurnal,Dactyloidae,NE,NE,Lizard,,Feldman et al 2015,41.8
