Binomial,mass,log10,sizeclass,habitat,diet,reprod,foraging,activity,maximum SVL
Amphisbaena bakeri,10.7102154,1.029798205,small,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,260
Amphisbaena barbouri,2.294187337,0.360628878,xsmall,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,177
Amphisbaena caeca,16.81973724,1.225819207,small,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,291
Amphisbaena carlgansi,1.861291062,0.269814292,xsmall,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,168
Amphisbaena caudalis,8.720405732,0.940536692,xsmall,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,247
Amphisbaena cubana,4.213722702,0.624665952,xsmall,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,206
Amphisbaena hyporissor,21.67136702,1.335886307,small,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,310
Amphisbaena innocens,11.04417487,1.043133275,small,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,262
Amphisbaena leali,9.753684478,0.989168702,xsmall,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,254
Amphisbaena manni,4.727459258,0.674627795,xsmall,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,212
Amphisbaena schmidti,7.771528527,0.890506446,xsmall,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,240
Amphisbaena xera,8.440895041,0.9263885,xsmall,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,245
Cadea blanoides,17.34868506,1.239266563,small,Terrestrial,Insectivorous,Oviparous,Sit-and-Wait,Nocturnal,260
Caiman crocodilus,10900,4.037426498,large,Aquatic,Carnivorous,Oviparous,Sit-and-Wait,Nocturnal,2500
Crocodylus acutus,76700,4.884795364,mega,Aquatic,Carnivorous,Oviparous,Sit-and-Wait,Nocturnal,4050
Crocodylus rhombifer,57500,4.759667845,mega,Aquatic,Carnivorous,Oviparous,Sit-and-Wait,Nocturnal,4900
Anolis agueroi,78.57014621,1.895257561,small,Aquatic,Omnivorous,Oviparous,Sit-and-Wait,Diurnal,158.1
Anolis ahli,4.931953265,0.693018953,xsmall,Trunk-Ground,Omnivorous,Oviparous,Sit-and-Wait,Diurnal,61.7
Anolis alayoni,2.187073104,0.3398633,xsmall,Twig,Omnivorous,Oviparous,Active,Diurnal,46.8
